Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Oitavas de final,,qua,2022-03-09,21:00 (17:00),Real Madrid es,1.9,3–1,1.1,fr Paris S-G,59.895,Estadio Santiago Bernabéu,Danny Makkelie,Relatório da Partida,Jogo de ida/volta 2 de 2; Real Madrid venceu
Oitavas de final,,ter,2022-03-15,20:00 (17:00),Manchester Utd eng,1.0,0–1,0.5,es Atlético Madrid,73.008,Old Trafford,Slavko Vinčič,Relatório da Partida,Jogo de ida/volta 2 de 2; Atlético Madrid venceu
Oitavas de final,,ter,2022-03-15,21:00 (17:00),Ajax nl,1.3,0–1,0.4,pt Benfica,54.066,Johan Cruyff ArenA,Carlos del Cerro,Relatório da Partida,Jogo de ida/volta 2 de 2; Benfica venceu
Oitavas de final,,qua,2022-03-16,21:00 (17:00),Lille fr,1.7,1–2,1.0,eng Chelsea,49.048,Stade Pierre-Mauroy,Davide Massa,Relatório da Partida,Jogo de ida/volta 2 de 2; Chelsea venceu
Oitavas de final,,qua,2022-03-16,21:00 (17:00),Juventus it,1.5,0–3,2.5,es Villarreal,30.385,Allianz Stadium,Szymon Marciniak,Relatório da Partida,Jogo de ida/volta 2 de 2; Villarreal venceu
Quartas de final,,ter,2022-04-05,20:00 (16:00),Benfica pt,1.2,1–3,3.9,eng Liverpool,59.633,Estádio do Sport Lisboa e Benfica,Jesús Gil,Relatório da Partida,Jogo de ida/volta 1 de 2
Quartas de final,,ter,2022-04-05,20:00 (16:00),Manchester City eng,1.0,1–0,0.0,es Atlético Madrid,52.018,Etihad Stadium,István Kovács,Relatório da Partida,Jogo de ida/volta 1 de 2
Quartas de final,,qua,2022-04-06,20:00 (16:00),Chelsea eng,1.3,1–3,1.8,es Real Madrid,38.689,Stamford Bridge,Clément Turpin,Relatório da Partida,Jogo de ida/volta 1 de 2
Quartas de final,,qua,2022-04-06,21:00 (16:00),Villarreal es,1.5,1–0,1.6,de Bayern Munich,21.626,Estadio de la Cerámica,Anthony Taylor,Relatório da Partida,Jogo de ida/volta 1 de 2
Quartas de final,,ter,2022-04-12,21:00 (16:00),Bayern Munich de,1.4,1–1,0.7,es Villarreal,70.000,Allianz Arena,Slavko Vinčič,Relatório da Partida,Jogo de ida/volta 2 de 2; Villarreal venceu
Quartas de final,,ter,2022-04-12,21:00 (16:00),Real Madrid es,1.2,2–3,2.7,eng Chelsea,59.839,Estadio Santiago Bernabéu,Szymon Marciniak,Relatório da Partida,Jogo de ida/volta 2 de 2; Real Madrid venceu; Tempo Extra Solicitado
Quartas de final,,qua,2022-04-13,20:00 (16:00),Liverpool eng,1.8,3–3,1.2,pt Benfica,51.373,Anfield,Serdar Gözübüyük,Relatório da Partida,Jogo de ida/volta 2 de 2; Liverpool venceu
Quartas de final,,qua,2022-04-13,21:00 (16:00),Atlético Madrid es,0.8,0–0,1.2,eng Manchester City,65.675,Estadio Wanda Metropolitano,Daniel Siebert,Relatório da Partida,Jogo de ida/volta 2 de 2; Manchester City venceu
Semifinais,,ter,2022-04-26,20:00 (16:00),Manchester City eng,2.7,4–3,1.6,es Real Madrid,52.217,Etihad Stadium,István Kovács,Relatório da Partida,Jogo de ida/volta 1 de 2
Semifinais,,qua,2022-04-27,20:00 (16:00),Liverpool eng,1.6,2–0,0.1,es Villarreal,51.586,Anfield,Szymon Marciniak,Relatório da Partida,Jogo de ida/volta 1 de 2
Semifinais,,ter,2022-05-03,21:00 (16:00),Villarreal es,1.2,2–3,2.5,eng Liverpool,23.665,Estadio de la Cerámica,Danny Makkelie,Relatório da Partida,Jogo de ida/volta 2 de 2; Liverpool venceu
Semifinais,,qua,2022-05-04,21:00 (16:00),Real Madrid es,2.3,3–1,1.4,eng Manchester City,61.416,Estadio Santiago Bernabéu,Daniele Orsato,Relatório da Partida,Jogo de ida/volta 2 de 2; Real Madrid venceu; Tempo Extra Solicitado
Final,,sáb,2022-05-28,21:30 (16:30),Liverpool eng,2.2,0–1,0.9,es Real Madrid,75.000,Stade de France (Campo neutro),Clément Turpin,Relatório da Partida,
